i,group,target,train_accuracy,holdout_accuracy,permutation_pvalue_train_manual,permutation_pvalue_holdout_manual,feature_name,feature_importance_train,feature_importance_std_train,faeture_importance_holdout,feature_importance_std_holdout,feature_coefficient,feature_coefficient_odds_ratio,direction
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,helped,0.00916996,0.0077228,-0.02275229,0.01127209,0.24790096,1.2813330226869992,positive
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,advantage,0.01031621,0.00414153,-0.01293578,0.01070647,-0.16682505,0.8463476669099753,negative
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,applause,0.00442688,0.00652545,-0.00834862,0.01062756,0.18832604,1.207227055500379,positive
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,awe,0.01003953,0.00537375,1.8349e-4,0.00850593,-0.17503538,0.8394273213051991,negative
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,banjo,0.00268775,0.00184378,-0.00266055,0.00416295,0.0124534,1.012531266484213,positive
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,banker,-0.00126482,0.00184378,-0.00486239,0.00542061,-0.03212797,0.9683826502218379,negative
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,circus,-0.00146245,0.00397837,-0.00385321,0.00736006,0.05072427,1.0520327762906563,positive
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,feared,0.00699605,0.00588535,-0.01862385,0.00974854,0.18702723,1.2056601147278707,positive
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,hope,0.01051383,0.00581498,-0.01431193,0.01072414,0.21307578,1.2374784238054695,positive
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,mushroom,5.9289e-4,0.00281577,-0.00302752,0.00431388,0.03248394,1.03301730275287,positive
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,piano,0.00482213,0.00469608,0.00853211,0.00664805,-0.0539898,0.9474417703585702,negative
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,snub,9.4862e-4,0.00168808,0.00321101,0.00437587,-0.02433303,0.9759606314614057,negative
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,thunder,0.00889328,0.00519504,-0.03605505,0.01497719,-0.20889319,0.8114819053970463,negative
1,Group 1,Depression,0.7351778656126482,0.6788990825688074,0.0060120240480962,0.143286573146293,truce,0,0,0,0,-0.00223097,0.9977715167639282,negative
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,helped,0.03162055,0.00964945,-0.00587156,0.01669221,0.34942491,1.4182516916548056,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,advantage,0.00667984,0.0039405,0.00908257,0.00957782,0.11253101,1.1191069598815342,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,applause,0.04616601,0.0133674,-0.00587156,0.01900301,-0.45735816,0.632953600799054,negative
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,bicycle,0.02245059,0.00908025,-0.00275229,0.01097088,0.18229782,1.199971516185313,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,cheese,0.00810277,0.00423405,2.7523e-4,0.00761578,0.07456711,1.0774176465943612,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,cough,0.01802372,0.0069214,6.422e-4,0.00928874,0.15566383,1.168433344822458,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,forest,0.00612648,0.00573804,-0.0046789,0.00458624,0.0778129,1.0809203995425773,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,hoe,0.00972332,0.00516624,0.0140367,0.00991972,0.15517635,1.167863895744319,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,lake,0.01023715,0.0077069,0.00486239,0.01464762,-0.22826646,0.7959121528254499,negative
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,spring,0.01,0.00557452,-0.00422018,0.00641152,0.16935121,1.1845360867962114,positive
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,teacher,0.00351779,0.00273242,0.0012844,0.0063588,-0.04508698,0.9559143327883345,negative
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,tiger,0.00826087,0.00467992,0.00880734,0.0097022400000000009,-0.09369494,0.9105604954607103,negative
2,Group 1,Anxiety,0.7786561264822134,0.6972477064220184,0,0.120240480961924,volcano,0.01320158,0.00551153,0.00293578,0.00697248,-0.12078038,0.886228571740659,negative
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,aggressive,0.0175,0.00672879,-0.01491228,0.00890254,-0.20178697,0.8172690122166643,negative
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,angry,0.00140152,0.00484064,-0.01561404,0.00828286,0.07905574,1.0822646458204341,positive
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,barbecue,0,0,0,0,0.03616209,1.036823891655934,positive
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,bell,0.00537879,0.00557166,-0.01324561,0.00769684,-0.09646093,0.9080453742394807,negative
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,church,0,0,0,0,0.00133384,1.0013347299602169,positive
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,dead,0.00181818,0.00474559,0.00596491,0.00975855,0.13163611,1.1406931569022347,positive
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,football,0.01045455,0.00451759,-0.00666667,0.00621756,0.25783564,1.294126098577821,positive
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,guard,0,0,0,0,0.01377086,1.0138661150382684,positive
3,Group 2,Depression,0.6931818181818182,0.6491228070175439,0.00701402805611218,0.209418837675351,jealousy,0.00643939,0.00416667,-0.01122807,0.00877894,-0.13349802,0.8750292015337205,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,aggressive,0,0,0,0,-0.04347091,0.9574604062090725,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,angry,-8.71212121e-4,0.00159406,0,0,-0.14545763,0.8646265235236701,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,barbecue,0.00200757576,0.00189053,-0.00438596,0.00438596,-0.12121766,0.8858411264280253,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,bell,-0.00185606061,0.00189356,0,0,-0.19575307,0.8222152392222202,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,cab,8.71212121e-4,0.00159406,0,0,-0.05519062,0.9463047461492232,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,cabbage,0.00208333333,0.00188445,0,0,0.07818703,1.0813248799510677,positive
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,cafeteria,-1.13636364e-4,0.0027027,0.00421053,0.00438245,0.17511446,1.1913825744579223,positive
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,carrot,0,0,-0.00403509,0.00437191,-0.1150021,0.8913642720398947,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,chair,-0.00208333333,0.00188445,0.00412281,0.00437806,0.07913305,1.082348318934545,positive
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,church,0.00102272727,0.00168166,-0.0022807,0.00384767,-0.05543731,0.9460713310231681,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,clang,0.00125,0.0028875,0.00236842,0.00389438,-0.15684982,0.8548324279122324,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,clarinet,0,0,0,0,0.01247121,1.0125492998266554,positive
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,coffee,0.00208333333,0.00188445,-0.00578947,0.00415534,-0.08232186,0.9209754858176624,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,dead,0,0,0.0054386,0.00425778,0.13124685,1.1402492170935894,positive
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,eggplant,0,0,0,0,-0.0083769,0.9916580884603645,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,guilt,0.00166666667,0.00188025,0.00438596,0.00438596,-0.10903067,0.8967029151980808,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,screech,-3.78787879e-5,0.00224062,0,0,-0.07135243,0.9311336748531538,negative
4,Group 2,Anxiety,0.7348484848484849,0.7280701754385965,0.00901803607214424,0.0120240480961924,shame,0,0,0,0,0.00765154,1.007680887836482,positive
5,Group 3,Depression,0.7142857142857143,0.6854838709677419,0.00100200400801598,0.0821643286573146,activist,-0.00358885,0.00271933,-0.00540323,0.00694251,0.02556583,1.0258954387443213,positive
5,Group 3,Depression,0.7142857142857143,0.6854838709677419,0.00100200400801598,0.0821643286573146,ambulance,0.00271777,0.00411032,0.01354839,0.0063377,-0.07509327,0.9276569597288137,negative
5,Group 3,Depression,0.7142857142857143,0.6854838709677419,0.00100200400801598,0.0821643286573146,avalanche,0.00452962,0.00496439,-0.00629032,0.0073542,-0.07868155,0.9243342318176306,negative
