"","Word","Group","proportion_diff_depr","proportion_diff_anx","Valence_VAD","Arousal_VAD","Dominance_VAD"
"1","accident",7,-0.019615459312488,0.00581395348837199,0.125,0.908,0.336
"2","accordion",4,-0.094474806718208,-0.086865021770682,0.604,0.49,0.361
"3","activist",3,-0.110264227642276,-0.080276448697502,0.531,0.653,0.877
"4","actor",8,-0.068693693693693,-0.081372852499613,0.653,0.561,0.629
"5","advantage",1,0.00153930731171004,0.036490955067107,0.917,0.548,0.859
"6","advice",7,-0.0749271703243339,-0.0206810631229229,0.698,0.408,0.688
"7","aggressive",2,-0.069730533972558,-0.0805945442632,0.125,0.949,0.648
"8","agreement",8,0.062141687141687,-0.010602073982355,0.76,0.44,0.736
"9","airport",5,0.099539723834301,0.069467146126185,0.729,0.684,0.682
"10","alligator",6,0.021850079744817,-0.012615673799885,0.354,0.704,0.645
"11","ambulance",3,-0.033621273712737,0.038454722665249,0.5,0.75,0.609
"12","analogy",5,-0.01652991795077,0.035550833605754,0.51,0.367,0.509
"13","angry",2,0.044370970408332,-0.041728454667725,0.122,0.83,0.604
"14","animosity",7,-0.086230335987571,-0.148255813953488,0.51,0.724,0.545
"15","ant",7,-0.050534084288212,-0.00955149501661195,0.448,0.216,0.216
"16","apartment",7,-0.109768887162556,-0.0500830564784061,0.719,0.393,0.58
"17","apology",4,-0.0744801386296989,-0.121044992743106,0.571,0.346,0.402
"18","applause",1,0.04819497892615,0.020579653763859,0.953,0.857,0.621
"19","apricot",4,0.015629165555852,-0.023548621190131,0.708,0.32,0.278
"20","arm",5,0.0966980188112869,0.068813337692056,0.552,0.285,0.469
"21","army",6,-0.00446570972886701,0.021255060728745,0.417,0.759,0.902
"22","artist",7,0.016003107399495,-0.000830564784052967,0.802,0.442,0.732
"23","asparagus",8,0.0551801801801799,0.0697260485992879,0.469,0.317,0.264
"24","attribute",5,0.067400440264158,0.07649558679307,0.781,0.439,0.795
"25","audience",5,-0.01212727636582,0.06685191238967,0.698,0.61,0.613
"26","author",7,-0.047154787337348,-0.025,0.775,0.343,0.749
"27","avalanche",3,-0.032181571815718,-0.036239588871168,0.265,0.915,0.683
"28","awe",1,0.02715777899945,0.0241587239836609,0.469,0.74,0.3
"29","axe",8,-0.019553644553644,0.00143166692462399,0.296,0.69,0.536
"30","ball",8,0.089373464373465,0.107916731156167,0.74,0.427,0.317
"31","banana",6,0.00287081339712891,0.063439849624061,0.612,0.23,0.241
"32","banjo",1,0.011068352574675,0.018284380470726,0.469,0.4,0.37
"33","banker",1,-0.031482499541872,-0.00462944952343902,0.586,0.588,0.792
"34","bar",6,0.046251993620414,-0.00310873337189199,0.5,0.531,0.481
"35","barbecue",2,0.010051248140188,-0.015863710038969,0.792,0.643,0.456
"36","baseball",7,-0.072013983297728,-0.072259136212624,0.66,0.76,0.563
"37","battle",8,-0.071150696150696,-0.058427488004953,0.365,0.945,0.868
"38","bay",4,-0.0861770194614769,0.00566037735849101,0.719,0.365,0.569
"39","beach",8,0.056101556101557,0.079863798173657,0.885,0.529,0.455
"40","bed",6,-0.015151515151515,0.02927993059572,0.604,0.173,0.327
"41","bee",8,0.131654381654382,0.088918124129391,0.52,0.509,0.309
"42","beer",4,0.0236936816848841,-0.00261248185776397,0.592,0.654,0.5
"43","belch",8,0.030917280917281,0.018805138523448,0.194,0.562,0.24
"44","belief",1,0.085981308411215,0.080762497568567,0.896,0.375,0.656
"45","bell",2,-0.10133906430815,-0.066041314618754,0.552,0.51,0.505
"46","bicycle",1,0.087740516767454,0.094300719704338,0.708,0.519,0.425
"47","big",7,0.0513886191493501,0.0124584717607981,0.802,0.588,0.812
"48","bird",7,-0.058885220431152,-0.00963455149501596,0.729,0.357,0.364
"49","blue",1,0.014806670331684,0.092822408091811,0.646,0.137,0.291
"50","blueberry",6,0.091547049441786,0.0668739155581269,0.656,0.185,0.365
"51","boat",7,-0.039463973587105,-0.044435215946844,0.516,0.42,0.554
