"","Word","Group","proportion_diff_depr","proportion_diff_anx","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust"
"1","accident",7,-0.019615459312488,0.00581395348837199,0,0,0,1,0,1,0,1,1,0
"2","accordion",4,-0.094474806718208,-0.086865021770682,0,0,0,0,0,0,0,0,0,0
"3","actor",8,-0.068693693693693,-0.081372852499613,0,0,0,0,0,0,0,0,0,0
"4","advantage",1,0.00153930731171004,0.036490955067107,0,0,0,0,0,0,1,0,0,0
"5","advice",7,-0.0749271703243339,-0.0206810631229229,0,0,0,0,0,0,0,0,0,1
"6","aggressive",2,-0.069730533972558,-0.0805945442632,1,0,0,1,0,1,0,0,0,0
"7","agreement",8,0.062141687141687,-0.010602073982355,0,0,0,0,0,0,1,0,0,1
"8","airport",5,0.099539723834301,0.069467146126185,0,1,0,0,0,0,0,0,0,0
"9","alligator",6,0.021850079744817,-0.012615673799885,0,0,0,0,0,0,0,0,0,0
"10","ambulance",3,-0.033621273712737,0.038454722665249,0,0,0,1,0,0,0,0,0,1
"11","analogy",5,-0.01652991795077,0.035550833605754,0,0,0,0,0,0,0,0,0,0
"12","angry",2,0.044370970408332,-0.041728454667725,1,0,1,0,0,1,0,0,0,0
"13","animosity",7,-0.086230335987571,-0.148255813953488,1,0,1,1,0,1,0,1,0,0
"14","ant",7,-0.050534084288212,-0.00955149501661195,0,0,0,0,0,0,0,0,0,0
"15","apartment",7,-0.109768887162556,-0.0500830564784061,0,0,0,0,0,0,0,0,0,0
"16","apology",4,-0.0744801386296989,-0.121044992743106,0,0,0,0,0,0,1,0,0,0
"17","applause",1,0.04819497892615,0.020579653763859,0,0,0,0,1,0,1,0,1,1
"18","arm",5,0.0966980188112869,0.068813337692056,0,0,0,0,0,0,0,0,0,0
"19","army",6,-0.00446570972886701,0.021255060728745,0,0,0,0,0,0,0,0,0,0
"20","artist",7,0.016003107399495,-0.000830564784052967,0,0,0,0,0,0,0,0,0,0
"21","attribute",5,0.067400440264158,0.07649558679307,0,0,0,0,0,0,0,0,0,0
"22","audience",5,-0.01212727636582,0.06685191238967,0,1,0,0,0,0,0,0,0,0
"23","author",7,-0.047154787337348,-0.025,0,0,0,0,0,0,1,0,0,1
"24","avalanche",3,-0.032181571815718,-0.036239588871168,0,0,0,1,0,1,0,1,1,0
"25","awe",1,0.02715777899945,0.0241587239836609,0,0,0,0,0,0,0,0,0,0
"26","ball",8,0.089373464373465,0.107916731156167,0,0,0,0,0,0,0,0,0,0
"27","banana",6,0.00287081339712891,0.063439849624061,0,0,0,0,0,0,0,0,0,0
"28","banjo",1,0.011068352574675,0.018284380470726,0,0,0,0,0,0,0,0,0,0
"29","banker",1,-0.031482499541872,-0.00462944952343902,0,0,0,0,0,0,0,0,0,1
"30","bar",6,0.046251993620414,-0.00310873337189199,0,0,0,0,0,0,0,0,0,0
"31","barbecue",2,0.010051248140188,-0.015863710038969,0,0,0,0,0,0,0,0,0,0
"32","baseball",7,-0.072013983297728,-0.072259136212624,0,0,0,0,0,0,0,0,0,0
"33","battle",8,-0.071150696150696,-0.058427488004953,1,0,0,0,0,1,0,0,0,0
"34","bay",4,-0.0861770194614769,0.00566037735849101,0,0,0,0,0,0,0,0,0,0
"35","beach",8,0.056101556101557,0.079863798173657,0,0,0,0,1,0,0,0,0,0
