,Valence_VAD,Arousal_VAD,Dominance_VAD
0,0.125,0.9079999999999999,0.336
2,0.531,0.653,0.877
5,0.698,0.408,0.688
6,0.125,0.9490000000000001,0.648
8,0.7290000000000001,0.684,0.682
9,0.354,0.7040000000000001,0.645
10,0.5,0.75,0.609
11,0.51,0.36700000000000005,0.509
12,0.122,0.83,0.604
13,0.51,0.7240000000000001,0.545
14,0.44799999999999995,0.21600000000000003,0.21600000000000003
15,0.7190000000000001,0.39299999999999996,0.58
19,0.552,0.285,0.469
20,0.41700000000000004,0.759,0.902
21,0.802,0.442,0.732
23,0.7809999999999999,0.439,0.795
24,0.698,0.61,0.613
25,0.775,0.34299999999999997,0.7490000000000001
26,0.265,0.915,0.6829999999999999
30,0.612,0.23,0.24100000000000002
33,0.5,0.531,0.48100000000000004
34,0.792,0.643,0.456
35,0.66,0.76,0.563
39,0.604,0.17300000000000001,0.327
44,0.552,0.51,0.505
46,0.802,0.588,0.812
47,0.7290000000000001,0.35700000000000004,0.364
49,0.6559999999999999,0.185,0.365
50,0.516,0.42,0.5539999999999999
51,0.48,0.7190000000000001,0.473
52,0.802,0.21,0.606
54,0.11199999999999999,0.69,0.47200000000000003
56,0.469,0.2,0.28300000000000003
57,0.479,0.588,0.391
58,0.40700000000000003,0.41100000000000003,0.4
59,0.688,0.569,0.755
60,0.653,0.51,0.802
61,0.892,0.327,0.314
62,0.43799999999999994,0.49,0.42100000000000004
63,0.39799999999999996,0.225,0.264
65,0.757,0.4,0.382
66,0.54,0.282,0.314
67,0.64,0.28800000000000003,0.379
68,0.7759999999999999,0.54,0.5
69,0.927,0.888,0.555
70,0.65,0.5379999999999999,0.491
71,0.5,0.235,0.27899999999999997
72,0.867,0.552,0.7140000000000001
74,0.562,0.08199999999999999,0.276
77,0.688,0.18600000000000003,0.25
78,0.7140000000000001,0.21,0.294
79,0.594,0.306,0.39399999999999996
81,0.573,0.541,0.46399999999999997
82,0.573,0.562,0.409
83,0.885,0.48,0.418
84,0.7040000000000001,0.298,0.473
85,0.708,0.198,0.61
