"ID","F1","F2","F3","Group","helped","advantage","applause","awe","banjo","banker","belief","bicycle","blue","bread","bridge","cabinet","cheese","circus","clever","clue","cough","council","cucumber","dark","day","driver","farmer","faucet","feared","field","forest","glass","hand","hoe","honeymoon","hope","hospital","hotel","ice","lake","mushroom","old","park","patient","piano","pig","plum","reporter","restaurant","ricochet","semester","sin","snub","spring","teacher","thunder","tiger","tomato","truce","trumpet","volcano","white","whole","xylophone"
"R_1BOWltIDcyNGKoH",1.57541490381052,1.50626474499986,1.10199724633235,"1","-1","1","1","1","1","1","1","1","1","1","1","1","1","1","-1","-1","1","1","-1","-1","-1","1","1","-1","1","1","1","-1","1","1","-1","-1","1","-1","-1","-1","1","1","-1","1","-1","-1","-1","1","1","1","-1","1","1","-1","1","1","1","-1","-1","-1","1","1","-1","-1"
"R_2bVMkt1hhhln2jP",-0.987107140176623,-0.456063620052829,0.0218550679903588,"1","-1","-1","-1","-1","1","1","1","-1","-1","1","1","-1","1","1","1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","1","1","1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","-1","1","1","-1","1","-1","1","1","1","-1","1"
"R_3nCM4LsfCsIjOo7",0.454366887297076,-0.652491764116331,-0.177729009136224,"1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","1","1","-1","1","-1","1","1","-1","1","1","-1","1","-1","1","-1","-1","-1","-1","1","-1","1","-1","-1","1","-1","1","1","-1","1","1","1","-1","-1","-1","-1","1","-1","1","-1","1","1","1","-1","-1","1","1","-1","1","1","1"
"R_wRBZJ21QBhdo7p7",0.541120660836496,0.866676981487224,0.706929428755704,"1","-1","-1","1","1","-1","1","1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","1","-1","1","1","1","1","1","-1","-1","1","1","1","1","1","-1","1","-1","-1","1","-1","1","1","1","1","1","1","1","1","-1","1","1","-1","-1","1","1","1","-1","1","1","-1","1","1"
"R_1JVecwADD1hEEhd",-0.00941576140685854,-0.825839682652216,-0.176854517948713,"1","1","1","1","1","1","1","1","1","1","-1","1","-1","1","1","-1","-1","-1","1","1","1","-1","1","1","-1","-1","-1","-1","1","-1","1","1","-1","-1","-1","1","1","1","1","-1","-1","1","1","1","1","1","1","-1","-1","1","-1","1","1","1","1","-1","1","-1","1","1","-1"
"R_2uPSl5mYGnrsQPF",0.25778387996995,-0.513911084397947,-0.618720298725076,"1","-1","-1","1","1","1","1","-1","1","-1","1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","1","1","1","1","1","-1","1","-1","1","1","-1","1","1","-1","-1","1","-1","1","-1","1","1","1","1","-1","1","-1","1","-1","-1","1","-1","-1","1","1","1","1","-1","1","1"
"R_3RybsOgte2YWttl",-0.403210522031218,-0.851188036109836,0.16121501782583,"1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","1","-1","1","1","1","1","1","-1","1","-1","-1","1","1","1","-1","-1","-1","-1","1","-1","-1","1","-1","1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","1","1","1","1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","1"
"R_3qWhpUXVLDV22Ii",-0.643527047809582,-0.80697920986957,-0.475584846024795,"1","1","-1","1","-1","-1","-1","1","1","1","-1","-1","-1","-1","1","1","1","-1","-1","1","1","-1","-1","1","-1","-1","-1","1","-1","1","-1","1","-1","1","-1","-1","1","1","1","1","-1","1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","1","1","-1","-1","1"
"R_1guKJOjTlOkSUJL",-0.18005343421812,-0.206779621139511,-0.0766858494462264,"1","-1","1","-1","-1","-1","1","-1","1","-1","1","-1","-1","1","-1","1","-1","1","1","1","-1","1","1","1","-1","1","-1","-1","1","-1","-1","1","-1","1","-1","1","-1","-1","1","-1","-1","1","-1","-1","1","1","1","1","1","-1","-1","-1","1","1","1","1","1","1","-1","-1","1"
"R_2Sk5FEjz72ZdNtS",0.491818806278856,0.278830985511581,-0.619089827469262,"1","1","-1","1","-1","1","1","1","-1","1","-1","1","-1","-1","1","1","1","1","-1","-1","1","-1","-1","1","-1","-1","1","1","-1","-1","1","1","-1","1","-1","-1","-1","1","1","-1","-1","-1","1","-1","1","1","-1","1","-1","1","-1","1","1","1","1","1","1","1","-1","-1","1"
